t,cam,fps,bad_frames,kills,respawns,alive
1789802693,2,0.0,0,114,152,False
1789802698,1,15.2,0,5,5,True
1789802698,2,0.0,0,115,153,False
1789802703,1,15.2,0,5,5,True
1789802703,2,0.0,0,115,153,False
1789802708,1,15.2,0,5,5,True
1789802708,2,0.0,0,116,154,False
1789802713,1,15.2,0,5,5,True
1789802713,2,0.0,0,116,155,True
1789802718,1,15.0,0,5,5,True
1789802718,2,0.0,0,117,155,False
1789802723,1,15.4,0,5,5,True
1789802723,2,0.0,0,117,156,False
1789802728,1,15.2,0,5,5,True
1789802728,2,0.0,0,117,156,False
1789802734,1,14.2,0,5,5,True
1789802734,2,0.0,0,117,157,True
1789802739,1,15.8,0,5,5,True
1789802739,2,0.0,0,118,157,False
1789802744,1,15.2,0,5,5,True
1789802744,2,0.0,0,118,158,True
1789802749,1,15.2,0,5,5,True
1789802749,2,0.0,0,118,158,False
1789802754,1,15.2,0,5,5,True
1789802754,2,0.0,0,118,159,False
1789802759,1,15.2,0,5,5,True
1789802759,2,0.0,0,118,159,False
1789802764,1,15.2,0,5,5,True
1789802764,2,0.0,0,119,160,False
1789802769,1,15.2,0,5,5,True
1789802769,2,0.0,0,119,160,False
1789802774,1,15.2,0,5,5,True
1789802774,2,0.0,0,119,161,False
1789802779,1,15.2,0,5,5,True
1789802779,2,0.0,0,119,161,False
1789802784,1,15.2,0,5,5,True
1789802784,2,0.0,0,120,162,False
1789802789,1,15.2,0,5,5,True
1789802789,2,0.0,0,120,163,True
1789802794,1,15.2,0,5,5,True
1789802794,2,0.0,0,121,163,False
1789802799,1,15.2,0,5,5,True
1789802799,2,0.0,0,121,164,False
1789802804,1,15.2,0,5,5,True
1789802804,2,0.0,0,121,164,False
1789802809,1,15.2,0,5,5,True
1789802809,2,0.0,0,122,165,False
1789802814,1,15.2,0,5,5,True
1789802814,2,0.0,0,122,165,False
1789802819,1,15.2,0,5,5,True
1789802819,2,0.0,0,122,166,False
1789802824,1,15.2,0,5,5,True
1789802824,2,0.0,0,122,167,True
1789802829,1,15.2,0,5,5,True
1789802829,2,0.0,0,122,167,False
1789802834,1,15.2,0,5,5,True
1789802834,2,0.0,0,123,168,False
1789802839,1,15.4,0,5,5,True
1789802839,2,0.0,0,123,168,False
1789802844,1,15.2,0,5,5,True
1789802844,2,0.0,0,124,169,False
1789802849,1,15.2,0,5,5,True
